site,month,tmax_c,tmin_c,tmean_c,rh_pct,dewpoint_c,source
Whitehorse,1,-11.1,-18.9,-15.0,,-19.1,ECCC Canadian Climate Normals 1991-2020 Whitehorse A (WMO 71964); dew point weatherstats.ca
Whitehorse,2,-7.1,-16.6,-11.9,,-15.8,ECCC 1991-2020
Whitehorse,3,-1.1,-12.4,-6.7,,-13.5,ECCC 1991-2020
Whitehorse,4,7.1,-4.0,1.6,,-7.1,ECCC 1991-2020
Whitehorse,5,14.2,1.6,7.9,,-2.2,ECCC 1991-2020
Whitehorse,6,19.3,6.2,12.8,,3.2,ECCC 1991-2020
Whitehorse,7,20.5,8.5,14.5,,6.3,ECCC 1991-2020
Whitehorse,8,18.5,7.2,12.9,,5.5,ECCC 1991-2020
Whitehorse,9,12.3,2.7,7.5,,1.5,ECCC 1991-2020
Whitehorse,10,4.3,-2.8,0.8,,-3.8,ECCC 1991-2020
Whitehorse,11,-5.4,-11.8,-8.6,,-11.8,ECCC 1991-2020
Whitehorse,12,-9.1,-16.5,-12.8,,-16.1,ECCC 1991-2020
Bad Gleichenberg,1,3.5,-4.0,-0.9,83,,GeoSphere Austria klima-v2 (homogenised) 1991-2020 via Tauernwetter Forschung (CC BY 4.0)
Bad Gleichenberg,2,6.6,-3.2,0.8,76,,GeoSphere Austria 1991-2020
Bad Gleichenberg,3,11.8,0.3,5.2,70,,GeoSphere Austria 1991-2020
Bad Gleichenberg,4,17.6,4.9,10.7,66,,GeoSphere Austria 1991-2020
Bad Gleichenberg,5,21.5,9.4,15.2,67,,GeoSphere Austria 1991-2020
Bad Gleichenberg,6,25.3,13.3,19.1,68,,GeoSphere Austria 1991-2020
Bad Gleichenberg,7,27.3,14.9,20.7,68,,GeoSphere Austria 1991-2020
Bad Gleichenberg,8,26.7,14.5,19.9,73,,GeoSphere Austria 1991-2020
Bad Gleichenberg,9,21.6,10.5,15.0,78,,GeoSphere Austria 1991-2020
Bad Gleichenberg,10,15.7,5.9,9.7,82,,GeoSphere Austria 1991-2020
Bad Gleichenberg,11,9.1,2.0,4.8,85,,GeoSphere Austria 1991-2020
Bad Gleichenberg,12,3.8,-2.9,-0.2,86,,GeoSphere Austria 1991-2020
Sevilla,1,16.3,6.0,11.2,73,,AEMET OpenData 1991-2020 Sevilla Aeropuerto
Sevilla,2,18.3,7.0,12.7,66,,AEMET 1991-2020
Sevilla,3,21.6,9.5,15.6,61,,AEMET 1991-2020
Sevilla,4,24.0,11.6,17.8,57,,AEMET 1991-2020
Sevilla,5,28.2,14.9,21.6,51,,AEMET 1991-2020
Sevilla,6,32.9,18.5,25.7,45,,AEMET 1991-2020
Sevilla,7,36.3,20.7,28.5,42,,AEMET 1991-2020
Sevilla,8,36.2,20.9,28.6,45,,AEMET 1991-2020
Sevilla,9,31.6,18.4,25.0,53,,AEMET 1991-2020
Sevilla,10,26.3,14.9,20.6,62,,AEMET 1991-2020
Sevilla,11,20.3,10.1,15.2,70,,AEMET 1991-2020
Sevilla,12,16.9,7.4,12.2,74,,AEMET 1991-2020
