site,month,tmin,cells,cover,demand_wood_W,demand_eps_W
Whitehorse,1,-18.9,10000,dense,10.0,9.0
Whitehorse,1,-18.9,10000,none,34.5,24.8
Whitehorse,1,-18.9,20000,dense,18.7,15.4
Whitehorse,1,-18.9,20000,none,55.4,33.9
Whitehorse,1,-18.9,40000,dense,33.0,24.0
Whitehorse,1,-18.9,40000,none,79.4,41.6
Whitehorse,2,-16.6,10000,dense,9.6,8.6
Whitehorse,2,-16.6,10000,none,33.1,23.7
Whitehorse,2,-16.6,20000,dense,17.9,14.7
Whitehorse,2,-16.6,20000,none,53.0,32.5
Whitehorse,2,-16.6,40000,dense,31.6,22.9
Whitehorse,2,-16.6,40000,none,76.0,39.9
Whitehorse,3,-12.4,10000,dense,8.8,7.9
Whitehorse,3,-12.4,10000,none,30.4,21.8
Whitehorse,3,-12.4,20000,dense,16.4,13.5
Whitehorse,3,-12.4,20000,none,48.7,29.8
Whitehorse,3,-12.4,40000,dense,29.0,21.1
Whitehorse,3,-12.4,40000,none,69.8,36.6
Whitehorse,4,-4.0,10000,dense,7.2,6.5
Whitehorse,4,-4.0,10000,none,25.0,17.9
Whitehorse,4,-4.0,20000,dense,13.5,11.1
Whitehorse,4,-4.0,20000,none,40.1,24.6
Whitehorse,4,-4.0,40000,dense,23.9,17.3
Whitehorse,4,-4.0,40000,none,57.5,30.1
Whitehorse,5,1.6,10000,dense,6.2,5.6
Whitehorse,5,1.6,10000,none,21.4,15.3
Whitehorse,5,1.6,20000,dense,11.6,9.5
Whitehorse,5,1.6,20000,none,34.3,21.0
Whitehorse,5,1.6,40000,dense,20.4,14.8
Whitehorse,5,1.6,40000,none,49.2,25.8
Whitehorse,6,6.2,10000,dense,5.3,4.8
Whitehorse,6,6.2,10000,none,18.4,13.2
Whitehorse,6,6.2,20000,dense,10.0,8.2
Whitehorse,6,6.2,20000,none,29.6,18.1
Whitehorse,6,6.2,40000,dense,17.6,12.8
Whitehorse,6,6.2,40000,none,42.4,22.3
Whitehorse,7,8.5,10000,dense,4.9,4.4
Whitehorse,7,8.5,10000,none,17.0,12.2
Whitehorse,7,8.5,20000,dense,9.2,7.6
Whitehorse,7,8.5,20000,none,27.2,16.7
Whitehorse,7,8.5,40000,dense,16.2,11.8
Whitehorse,7,8.5,40000,none,39.0,20.5
Whitehorse,8,7.2,10000,dense,5.2,4.6
Whitehorse,8,7.2,10000,none,17.8,12.8
Whitehorse,8,7.2,20000,dense,9.6,7.9
Whitehorse,8,7.2,20000,none,28.6,17.5
Whitehorse,8,7.2,40000,dense,17.0,12.4
Whitehorse,8,7.2,40000,none,41.0,21.5
Whitehorse,9,2.7,10000,dense,6.0,5.4
Whitehorse,9,2.7,10000,none,20.7,14.8
Whitehorse,9,2.7,20000,dense,11.2,9.2
Whitehorse,9,2.7,20000,none,33.2,20.3
Whitehorse,9,2.7,40000,dense,19.8,14.4
Whitehorse,9,2.7,40000,none,47.6,25.0
Whitehorse,10,-2.8,10000,dense,7.0,6.3
Whitehorse,10,-2.8,10000,none,24.2,17.4
Whitehorse,10,-2.8,20000,dense,13.1,10.8
Whitehorse,10,-2.8,20000,none,38.9,23.8
Whitehorse,10,-2.8,40000,dense,23.1,16.8
Whitehorse,10,-2.8,40000,none,55.7,29.2
Whitehorse,11,-11.8,10000,dense,8.7,7.8
Whitehorse,11,-11.8,10000,none,30.0,21.5
Whitehorse,11,-11.8,20000,dense,16.2,13.4
Whitehorse,11,-11.8,20000,none,48.1,29.5
Whitehorse,11,-11.8,40000,dense,28.6,20.8
Whitehorse,11,-11.8,40000,none,69.0,36.2
